date,EUR,EUR1m,AUD,AUD1m,CAD,CAD1m,CHF,CHF1m,GBP,GBP1m,JPY,JPY1m,NOK,NOK1m,NZD,NZD1m,SEK,SEK1m
1996-12-31,0.6498992656138298,0.6512197345628362,1.2592079581942957,1.259815061668577,1.3705,1.3675261,1.3415,1.3372604,0.5834305717619603,0.5838052425710784,115.7,115.20188,6.37745,6.367649999999999,1.4149274849663955,1.417685628211944,6.8122,6.80325
1997-01-01,0.649751470062701,0.6510840549514942,1.2585740356176451,1.2590969756490646,1.37045,1.367675,1.34125,1.33695,0.5842827928717499,0.5846414686193692,115.885,115.375,6.37765,6.36785,1.4165309157872372,1.419244961680386,6.80735,6.7985999999999995
1997-01-02,0.6486135884546781,0.6499415052645262,1.264142595284748,1.264718157558588,1.37595,1.3731124,1.34845,1.3441884,0.5903536218194699,0.5907197920666332,115.675,115.17,6.38175,6.37225,1.4131279587366636,1.4158790839262327,6.8751,6.8743
1997-01-03,0.6379788828989761,0.6392410929744208,1.2651021569991776,1.2656443129411878,1.37025,1.3675251,1.3595,1.3552445,0.5926628341136727,0.5930353923522156,116.435,115.93,6.4837,6.4735,1.4147273113107448,1.41753490679708,6.96205,6.95275
1997-01-06,0.638630775617077,0.6399488040956723,1.2668651422056123,1.2674518615445725,1.36555,1.3627796,1.353,1.3485363,0.5895009874141539,0.5899008966493628,115.745,115.235,6.46555,6.4540500000000005,1.4101388986815202,1.4126787921596329,6.9466,6.93725
1997-01-07,0.6391614202166757,0.6404713869407884,1.265262225596255,1.2658306361647054,1.35545,1.3524559,1.35405,1.3497175,0.5901097604154373,0.5905017788866089,115.245,114.7525,6.462,6.4501,1.4079549454417457,1.4104869706266088,6.9745,6.9654
1997-01-08,0.6346184356655561,0.6358491765753164,1.2821334700942368,1.2826957544438031,1.35225,1.3493484,1.3655,1.3612347999999999,0.5924170616113744,0.5928033671231253,115.845,115.35249999999999,6.50205,6.49055,1.4139271827500883,1.4164807535677608,6.98165,6.97285
1997-01-09,0.6338943298152198,0.6351020926613953,1.2808197246237591,1.2813857828453452,1.35285,1.3500872000000002,1.36925,1.3648676000000002,0.5883045064125191,0.5887027933947546,116.365,115.86999999999999,6.43345,6.42755,1.413327680022613,1.4157788553427955,6.92965,6.9205499999999995
1997-01-10,0.6305567816381865,0.6318017406137953,1.278363694471077,1.2789671675059462,1.34825,1.3454831,1.3757,1.371297,0.5952380952380952,0.5956280898207159,116.155,115.657,6.4205,6.4087499999999995,1.4167316001983425,1.4191442560136238,6.9256,6.91645
1997-01-13,0.628693574751666,0.6303063919371207,1.2857602057216329,1.2863830946621018,1.34735,1.3446075,1.37645,1.3715396,0.5969971045640428,0.5974161750429392,116.475,115.955,6.38075,6.36775,1.4201519562593197,1.4225256943703546,6.94775,6.9381
1997-01-14,0.6275691110483542,0.6289505959306897,1.2818047811318336,1.282398516111029,1.3503,1.3472571,1.37445,1.3696217,0.5986410847376455,0.5990534954771461,117.175,116.6535,6.3995,6.38605,1.4241971088798688,1.4265436985998472,6.9693000000000005,6.9597500000000005
1997-01-15,0.6288319446627888,0.6303580433686333,1.2902393393974583,1.2908679098757332,1.3425500000000001,1.3396274000000001,1.36985,1.3652917,0.5940182363598562,0.5944296002163724,116.725,116.22,6.3421,6.3292,1.4215651432226881,1.4239436118329714,6.9391,6.92995
